name,sku,image_url,base_price,harga_normal_non_member,harga_normal_member,harga_promo_flash_sale_new_customer,harga_special_non_member,harga_special_member,promo_label,special_label,unit,treatment_sessions,description
Pink Lips Laser,TRT-PINK-LIPS-LASER,https://files.cekat.ai/Pink_Lips_Laser_-_flash_sale_1dflzr.png,499000,499000,469000,199000,,,Harga Promo Flash Sale New Customer April (Khusus Customer Baru),,,,
IPL Glow,TRT-IPL-GLOW,https://files.cekat.ai/IPL_Glow_-_Flash_sale_QlMdWS.png,399000,399000,359000,199000,,,Harga Promo Flash Sale New Customer April (Khusus Customer Baru),,,,
Hair Removal Underarm,TRT-HAIR-REMOVAL-UNDERARM,https://files.cekat.ai/Hair_Removal_Underarm_-_Flash_sale_R8p8Fl.png,249000,249000,249000,199000,,,Harga Promo Flash Sale New Customer April (Khusus Customer Baru),,,1,
Whitening Peel,TRT-WHITENING-PEEL,https://files.cekat.ai/Whitening_peel_-_Flash_sale_8nyh9A.png,299000,299000,299000,199000,,,Harga Promo Flash Sale New Customer April (Khusus Customer Baru),,,,
Hair Removal Underarm 3x,TRT-HAIR-REMOVAL-UNDERARM-3X,https://files.cekat.ai/Hair_removal_3x_-_flash_sale_JPRFwA.png,1197000,1197000,,349000,,,Harga Promo Flash Sale New Customer April (Khusus Customer Baru),,,3,
Hair Removal Underarm + Glow 3x,TRT-HAIR-REMOVAL-UNDERARM-GLOW-3X,https://files.cekat.ai/Hair_Removal_-_Bauu_3d6igA.png,747000,747000,,597000,,,Harga Promo Flash Sale New Customer April (Khusus Customer Baru),,,3,
Hair Removal Underarm 12x,TRT-HAIR-REMOVAL-UNDERARM-12X,https://files.cekat.ai/Hair_Removal_-_Bauu_3d6igA.png,2988000,2988000,,1199000,,,Harga Promo Flash Sale New Customer April (Khusus Customer Baru),,,12,
Picolux Laser,TRT-PICOLUX-LASER,https://files.cekat.ai/Laser_pico_-_Flash_Sale_VUjRte.png,1199000,1199000,1138000,499000,,,Harga Promo Flash Sale New Customer April (Khusus Customer Baru),,,,
BOTOX Standard,TRT-BOTOX-STANDARD,https://files.cekat.ai/Botox_-_flash_sale_ESH11K.png,599000,599000,599000,499000,,,Harga Promo Flash Sale New Customer April (Khusus Customer Baru),,10 unit,,
Intimate Glow,TRT-INTIMATE-GLOW,https://files.cekat.ai/Intimate_Glow_-_flash_sale_YhXPC8.png,898000,898000,,399000,,,Harga Promo Flash Sale New Customer April (Khusus Customer Baru),,,,
Underarm Brightening,TRT-UNDERARM-BRIGHTENING,https://files.cekat.ai/Underarm_Brightening_-_Flash_sale_ycl3kR.png,698000,698000,,349000,,,Harga Promo Flash Sale New Customer April (Khusus Customer Baru),,,,
Meso Pigment,TRT-MESO-PIGMENT,https://files.cekat.ai/meso_pigment_flashsale_QChKZm.png,499000,499000,499000,399000,,,Harga Promo Flash Sale New Customer April (Khusus Customer Baru),,,,
Sakura Pink Lips,TRT-SAKURA-PINK-LIPS,https://files.cekat.ai/Sakura_Pink_Lips_-_flash_sale_3KtvAe.png,999000,999000,,399000,,,Harga Promo Flash Sale New Customer April (Khusus Customer Baru),,,,
Hair Removal Brazilian V,TRT-HAIR-REMOVAL-BRAZILIAN-V,https://files.cekat.ai/Hair_Removal_Brazilian_V_-_flashsale_3OpZWk.png,499000,499000,469000,249000,,,Harga Promo Flash Sale New Customer April (Khusus Customer Baru),,,,Area Tubuh: Mencakup bagian intim di sekitar area depan (khusus wanita)
Korean Back II,TRT-KOREAN-BACK-II,https://files.cekat.ai/Korean_Back_II_-_flash_sale_oQsj0y.png,898000,898000,,449000,,,Harga Promo Flash Sale New Customer April (Khusus Customer Baru),,,,
Body Rejuve Laser,TRT-BODY-REJUVE-LASER,https://files.cekat.ai/Body_Rejuve_Laser_-_flash_sale_q6udk9.png,1998000,1998000,1998000,949000,,,Harga Promo Flash Sale New Customer April (Khusus Customer Baru),,,,
Diamond Laser Facial,TRT-DIAMOND-LASER-FACIAL,https://files.cekat.ai/Diamond_Laser_Facial_-_Flash_Sale_PvlsdF.png,1499000,1499000,1399000,749000,,,Harga Promo Flash Sale New Customer April (Khusus Customer Baru),,,,
Korean Legs,TRT-KOREAN-LEGS,https://files.cekat.ai/Korean_Legs_-_flash_sale_WCkGlU.png,1497000,1497000,,599000,,,Harga Promo Flash Sale New Customer April (Khusus Customer Baru),,,,
Premium Glow Infusion,TRT-PREMIUM-GLOW-INFUSION,https://files.cekat.ai/Premium_Glow_Infusion_-_flash_sale_G9qkxF.png,1299000,1299000,1119000,949000,,,Harga Promo Flash Sale New Customer April (Khusus Customer Baru),,,,
